run_id,seed,algorithm,best_score,baseline_reference
1,1762748519,PSO,0.18012280050107926,0.16107917887773401
1,1762748519,WOA,0.20882310228824535,0.16107917887773401
1,1762748519,GWO,0.1778500845597452,0.16107917887773401
1,1762748519,FA,0.16296298658969677,0.16107917887773401
2,1762768404,PSO,0.16201922370789495,0.16107917887773401
2,1762768404,WOA,0.20882310228824535,0.16107917887773401
2,1762768404,GWO,0.1778500845597452,0.16107917887773401
2,1762768404,FA,0.16296298658969677,0.16107917887773401
3,1762790648,PSO,0.17362955885513362,0.16107917887773401
3,1762790648,WOA,0.20882310228824535,0.16107917887773401
3,1762790648,GWO,0.1778500845597452,0.16107917887773401
3,1762790648,FA,0.16296298658969677,0.16107917887773401
4,1762812230,PSO,0.1729024270540917,0.16107917887773401
4,1762812230,WOA,0.20882310228824535,0.16107917887773401
4,1762812230,GWO,0.1778500845597452,0.16107917887773401
4,1762812230,FA,0.16296298658969677,0.16107917887773401
5,1762835824,PSO,0.18656974454873318,0.16107917887773401
5,1762835824,WOA,0.20882310228824535,0.16107917887773401
5,1762835824,GWO,0.1778500845597452,0.16107917887773401
5,1762835824,FA,0.16296298658969677,0.16107917887773401
